cid,name,winner,winner_pct,turnout,jam,bnp,ncp,median_age,u35,first_time_pct,non_muslim_pct,hindu_pct,stype
31,Gaibandha-3,Jamaat,51.9,61.63,51.9,44.84,0.0,41.0,33.46,35.26,7.1,7.09,rural
32,Gaibandha-4,BNP,49.64,61.42,48.41,49.64,0.0,42.0,31.9,33.81,6.6,6.1,rural
33,Gaibandha-5,Jamaat,41.22,55.86,41.22,34.11,0.0,41.0,33.97,35.89,5.51,5.48,rural
34,Joypurhat-1,Jamaat,49.19,71.81,49.19,46.49,0.0,43.0,32.07,33.75,12.22,10.29,rural
35,Joypurhat-2,BNP,62.94,71.72,36.45,62.94,0.0,43.0,30.52,32.39,6.18,5.97,rural
36,Bogra-1,BNP,74.27,61.35,24.89,74.27,0.0,42.0,33.26,35.22,3.38,3.35,rural
37,Bogra-2,BNP,59.61,71.36,38.25,59.61,0.0,43.0,30.92,32.77,4.46,4.44,rural
38,Bogra-3,BNP,52.87,71.44,45.78,52.87,0.0,43.0,30.12,32.05,7.9,7.8,rural
39,Bogra-4,BNP,57.96,74.77,40.53,57.96,0.0,42.0,31.28,33.01,8.69,8.66,rural
40,Bogra-5,BNP,62.17,70.03,35.71,62.17,0.0,42.0,32.14,33.82,6.81,6.73,rural
41,Bogra-6,BNP,68.2,69.92,30.67,68.2,0.0,42.0,32.0,33.66,6.09,6.0,mixed
42,Bogra-7,BNP,69.03,71.28,30.29,69.03,0.0,42.0,31.46,33.34,4.96,4.88,rural
43,Chapai Nawabganj-1,Jamaat,55.17,74.68,55.17,43.69,0.0,40.0,36.14,38.26,2.69,2.69,rural
